J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
2.0,-,2,3,5427.88628,1.69,5427.860627397844,5427.860625397344,-2.000499989662785e-06,False
2.0,-,2,4,6935.84335,1.0,6935.759558687401,6935.759558621658,-6.574373401235789e-08,False
2.0,-,2,4,6957.59277,0.49,6957.546592074177,6957.546590057746,-2.0164316083537415e-06,False
2.0,-,2,4,6975.73603,0.36,6975.676304247316,6975.67629917449,-5.0728258429444395e-06,False
2.0,-,3,0,8278.03555,256.0,8278.026493276373,8278.026495561218,2.284845322719775e-06,False
2.0,-,2,5,8460.47032,1.69,8460.418824936287,8460.418825666731,7.304442988242954e-07,False
2.0,-,2,5,8482.17726,1.69,8482.12869620818,8482.128691947995,-4.260184141458012e-06,False
2.0,-,2,5,8500.23877,1.44,8500.18840522933,8500.188393696544,-1.1532785720191896e-05,False
2.0,-,5,0,9280.48492,841.0,9280.434600217404,9280.434659284281,5.9066876929136924e-05,False
2.0,-,5,0,9299.7964,529.0,9299.860338934997,9299.860402265855,6.333085730148014e-05,False
2.0,-,3,1,9861.97922,2.56,9861.9735489848,9861.973550018572,1.0337716958019882e-06,False
2.0,-,2,6,9961.85131,0.04,9961.743761898279,9961.743761846103,-5.217589205130935e-08,False
2.0,-,2,6,9983.41358,0.16,9983.386478600107,9983.3864736317,-4.968407665728591e-06,False
2.0,-,2,6,10001.39263,0.09,10001.399903425854,10001.399893346375,-1.0079478670377284e-05,False
2.0,-,5,1,11312.26249,12.25,11312.271045832142,11312.271021221377,-2.4610764739918523e-05,False
2.0,-,5,1,11331.45729,9.0,11331.34225128342,11331.342187376747,-6.39066729490878e-05,False
2.0,-,3,2,11421.70169,2.56,11421.73594242641,11421.735942600666,1.7425554688088596e-07,False
2.0,-,2,7,11439.77167,0.36,11439.699880531723,11439.699879266544,-1.265179889742285e-06,False
2.0,-,2,7,11461.31771,0.81,11461.318368756614,11461.318387427296,1.867068203864619e-05,False
2.0,-,2,7,11479.19964,0.36,11479.39062734486,11479.390687690473,6.034561374690384e-05,False
2.0,-,2,8,12894.34601,0.25,12894.253653232614,12894.253654140297,9.076829883269966e-07,False
2.0,-,2,8,12915.79513,1.0,12915.743706901774,12915.74369391345,-1.2988324670004658e-05,False
2.0,-,2,8,12933.6701,0.16,12933.600886265436,12933.600849497947,-3.67674892913783e-05,False
2.0,-,3,3,12957.15195,1.0,12957.15035943709,12957.150361540442,2.1033520170021802e-06,False
2.0,-,5,2,13315.26492,1.96,13315.43788751113,13315.437929225038,4.171390719420742e-05,False
2.0,-,5,2,13334.20772,1.21,13334.497259714319,13334.497326350292,6.663597378064878e-05,False
2.0,-,2,9,14325.62374,0.0237,14325.441693686738,14325.441693448594,-2.3814391170162708e-07,False
2.0,-,2,9,14346.98577,0.0533,14346.887051127627,14346.887050750012,-3.776149242185056e-07,False
2.0,-,2,9,14364.77297,0.0181,14364.752340205561,14364.752340287616,8.205461199395359e-08,False
2.0,-,3,4,14468.25598,1.44,14468.225335886738,14468.225336722959,8.362203516298905e-07,False
2.0,-,5,3,15288.18169,4.84,15288.191779132669,15288.191780387317,1.2546479410957545e-06,False
2.0,-,5,3,15306.99808,3.24,15306.923726110766,15306.923726173165,6.239861249923706e-08,False
2.0,-,2,10,15733.56478,0.0013,15733.363883563674,15733.363883313248,-2.504257281543687e-07,False
2.0,-,2,10,15754.85505,0.0013,15754.768510242553,15754.768515896163,5.653610060107894e-06,False
2.0,-,2,10,15772.56002,0.0013,15772.647079400376,15772.647094921345,1.5520969100180082e-05,False
2.0,-,3,5,15954.94702,0.36,15954.902670564214,15954.902672106478,1.5422647265950218e-06,False
2.0,-,2,11,17118.13332,0.0044,17118.20209130673,17118.20209192218,6.154477887321264e-07,False
2.0,-,2,11,17139.25522,0.0099,17139.42312187362,17139.423116399226,-5.474394129123539e-06,False
2.0,-,2,11,17156.96775,0.0011,17156.89324746152,17156.893227004082,-2.0457438949961215e-05,False
2.0,-,3,6,17417.14562,0.16,17417.077542681272,17417.077544994914,2.3136417439673096e-06,False
