J,v,quasibound,grid_index,original_rank,expanded_rank,difference_cm
32,1,False,1,2,2,-2.546585164964199e-11
32,2,False,1,3,3,1.709850039333105e-10
32,3,False,1,4,4,-1.2369127944111824e-10
32,4,False,1,5,5,-1.4551915228366852e-11
32,5,False,1,6,6,-2.9103830456733704e-11
32,6,False,1,7,7,-6.912159733474255e-11
32,7,False,1,8,8,9.458744898438454e-11
32,8,False,1,9,9,-3.637978807091713e-12
32,9,False,1,10,10,7.639755494892597e-11
32,10,False,1,11,11,-3.637978807091713e-11
32,11,False,1,12,12,3.637978807091713e-11
32,12,False,1,13,13,1.4551915228366852e-11
32,13,False,1,14,14,-6.548361852765083e-11
32,14,True,1,15,15,-1.382431946694851e-09
32,15,True,1,19,20,-0.6032709817154682
33,0,False,1,1,1,-2.9103830456733704e-11
