v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
9,10,0.9999999999999997,False,4.522799999999999,37215.62639596375,6,22574.8369,22574.817042094834,0.01985790516482666,11.952286093343936,1.4551915228366852e-11
10,11,0.9999999999999996,False,4.522799999999999,37215.62639596375,6,24507.437949,24507.47943776662,-0.04148876661929535,11.396057645963793,-2.4374458007514477e-10
11,12,0.9999999999999997,False,4.522799999999999,37215.62639596375,6,26326.459099,26326.545373437886,-0.08627443788645905,10.91089451179962,-1.2732925824820995e-10
12,13,0.9999999999999996,False,4.522799999999999,37215.62639596375,6,28026.824293,28026.914195723573,-0.08990272357186768,10.482848367219182,-1.1641532182693481e-10
13,14,0.9999999999999999,False,4.522799999999999,37215.62639596375,6,29601.8606,29601.91036106078,-0.0497610607817478,10.101525445522107,1.4551915228366852e-11
14,15,1.0,False,4.522799999999999,37215.62639596375,6,31042.851974,31042.827324750873,0.024649249127833173,9.759000729485331,1.2369127944111824e-10
15,16,0.9999999999999998,False,4.522799999999999,37215.62639596375,6,32338.285858,32338.218435885618,0.06742211438177037,9.44911182523068,9.094947017729282e-11
16,17,1.0,False,4.522799999999999,37215.62639596375,6,33472.799652,33472.70898835653,0.0906636434738175,9.166984970282112,-1.382431946694851e-10
17,18,0.9999999999997842,False,4.522799999999999,37215.62639596375,6,34424.9066,34424.818726977326,0.08787302267592167,8.90870806374748,-9.458744898438454e-11
0,1,1.0000000000000009,False,4.4094999999999995,37227.710345372645,7,582.998,582.998545350703,-0.0005453507029642424,35.35533905932737,1.6905232769204304e-10
1,2,1.0,False,4.4094999999999995,37227.710345372645,7,3451.9703,3451.991689422114,-0.021389422114225454,24.999999999999993,3.092281986027956e-11
2,3,1.0000000000000004,False,4.4094999999999995,37227.710345372645,7,6217.106668,6217.10292252464,0.003745475360119599,20.412414523193153,-5.184119800105691e-11
3,4,0.9999999999999999,False,4.4094999999999995,37227.710345372645,7,8879.127672,8879.120608739047,0.0070632609531458,17.677669529663685,6.548361852765083e-11
4,5,1.0000000000000004,False,4.4094999999999995,37227.710345372645,7,11438.45889,11438.459322462604,-0.00043246260429441463,15.811388300841895,-1.0732037480920553e-10
5,6,1.0000000000000002,False,4.4094999999999995,37227.710345372645,7,13895.187458,13895.181317557852,0.00614044214853493,14.433756729740644,-1.2005330063402653e-10
6,7,1.0,False,4.4094999999999995,37227.710345372645,7,16248.998031,16248.969893227175,0.028137772824265994,13.363062095621219,-2.7466739993542433e-10
7,8,1.0000000000000004,False,4.4094999999999995,37227.710345372645,7,18499.074428,18499.05908129017,0.015346709831646876,12.499999999999996,-2.000888343900442e-10
8,9,1.0000000000000002,False,4.4094999999999995,37227.710345372645,7,20644.146657,20644.128366099478,0.01829090052342508,11.785113019775793,-2.582964953035116e-10
9,10,1.0000000000000002,False,4.4094999999999995,37227.710345372645,7,22682.1879,22682.169849098045,0.018050901955575682,11.180339887498947,-2.1100277081131935e-10
10,11,1.0000000000000004,False,4.4094999999999995,37227.710345372645,7,24610.288451,24610.330036662497,-0.04158566249680007,10.660035817780521,-2.9831426218152046e-10
11,12,0.9999999999999999,False,4.4094999999999995,37227.710345372645,7,26424.637342,26424.72019352541,-0.08285152540702256,10.206207261596576,-3.092281986027956e-10
12,13,1.0000000000000002,False,4.4094999999999995,37227.710345372645,7,28120.093835,28120.17776720101,-0.0839322010106116,9.8058067569092,-1.3460521586239338e-10
13,14,1.0,False,4.4094999999999995,37227.710345372645,7,29689.902547,29689.9445825272,-0.04203552719991421,9.44911182523068,-9.822542779147625e-11
14,15,1.0,False,4.4094999999999995,37227.710345372645,7,31125.2296,31125.19924979549,0.03035020450988668,9.128709291752767,-6.548361852765083e-11
15,16,0.9999999999999999,False,4.4094999999999995,37227.710345372645,7,32414.3931,32414.326372763957,0.06672723604424391,8.838834764831843,3.637978807091713e-12
16,17,1.0000000000000002,False,4.4094999999999995,37227.710345372645,7,33541.763301,33541.68356899579,0.0797320042111096,8.574929257125442,-5.820766091346741e-11
17,18,0.9999999999973327,False,4.4094999999999995,37227.710345372645,7,34485.370028,34485.31648030602,0.053547693976724986,8.333333333333334,-8.003553375601768e-11
0,1,1.0000000000000002,False,4.3271,37242.152935760176,8,748.9629,748.963564792898,-0.0006647928979646167,33.333333333333336,6.832578947069123e-11
1,2,1.0000000000000002,False,4.3271,37242.152935760176,8,3613.084553,3613.10694266176,-0.022389661759916635,23.57022603955158,-1.5415935195051134e-10
2,3,1.0000000000000004,False,4.3271,37242.152935760176,8,6373.407635,6373.407106531218,0.0005284687813400524,19.245008972987527,8.640199666842818e-11
3,4,1.0,False,4.3271,37242.152935760176,8,9030.6422,9030.640296624384,0.0019033756161661586,16.666666666666668,2.582964953035116e-10
4,5,1.0000000000000004,False,4.3271,37242.152935760176,8,11585.20138,11585.207874958252,-0.006494958252005745,14.907119849998596,-1.6007106751203537e-10
5,6,0.9999999999999997,False,4.3271,37242.152935760176,8,14037.157288,14037.157127157094,0.00016084290655271616,13.608276348795435,-1.1459633242338896e-10
6,7,1.0,False,4.3271,37242.152935760176,8,16386.175621,16386.15356714816,0.02205385183697217,12.59881576697424,-3.41970007866621e-10
7,8,1.0000000000000002,False,4.3271,37242.152935760176,8,18631.4191,18631.409398066324,0.009701933675387409,11.78511301977579,-1.127773430198431e-10
8,9,1.0,False,4.3271,37242.152935760176,8,20771.592382,20771.57688151995,0.015500480047194287,11.111111111111112,-2.764863893389702e-10
9,10,1.0,False,4.3271,37242.152935760176,8,22804.6302,22804.61392665345,0.016273346551315626,10.540925533894598,-1.0550138540565968e-10
10,11,0.9999999999999996,False,4.3271,37242.152935760176,8,24727.5824,24727.62383506794,-0.041435067942074966,10.05037815259212,-4.3655745685100555e-11
11,12,0.9999999999999999,False,4.3271,37242.152935760176,8,26536.583981,26536.66270934044,-0.07872834043882904,9.622504486493764,-1.964508555829525e-10
12,13,1.0,False,4.3271,37242.152935760176,8,28226.4192,28226.4962688885,-0.0770688884986157,9.245003270420485,-1.8553691916167736e-10
