r_angstrom,bob_dimensionless
3.812,-6.88347748059372e-09
3.8177499999999998,-6.765552158511128e-09
3.8235,-6.65038514576716e-09
3.82925,-6.537915232174403e-09
3.835,-6.428081850760247e-09
3.84075,-6.320825120817833e-09
3.8465,-6.2160858868534755e-09
3.8522499999999997,-6.113805753662779e-09
3.858,-6.013927117756315e-09
3.86375,-5.916393195350561e-09
3.8695,-5.821148047121613e-09
3.87525,-5.728136599916773e-09
3.881,-5.637304665609266e-09
3.88675,-5.548598957266523e-09
3.8925,-5.461967102804954e-09
3.89825,-5.377357656284241e-09
3.904,-5.294720106995903e-09
3.90975,-5.21400488648891e-09
3.9154999999999998,-5.135163373667893e-09
3.92125,-5.0581478980956e-09
3.927,-4.982911741621909e-09
3.93275,-4.909409138457763e-09
3.9385,-4.837595273802735e-09
3.94425,-4.767426281134412e-09
3.9499999999999997,-4.6988592382591616e-09
3.95575,-4.631852162217737e-09
3.9615,-4.566364003136319e-09
3.96725,-4.5023546371086525e-09
3.973,-4.439784858189787e-09
3.97875,-4.37861636957429e-09
3.9845,-4.318811774036983e-09
3.99025,-4.260334563697468e-09
3.996,-4.203149109177536e-09
4.0017499999999995,-4.1472206482084714e-09
4.0075,-4.092515273747651e-09
4.013249999999999,-4.038999921656755e-09
4.019,-3.9866423579923735e-09
4.02475,-3.935411165955504e-09
4.0305,-3.885275732547148e-09
4.03625,-3.836206234969118e-09
4.042,-3.78817362680959e-09
4.04775,-3.741149624052757e-09
4.0535,-3.695106690943013e-09
4.0592500000000005,-3.6500180257387686e-09
4.0649999999999995,-3.6058575463856466e-09
4.07075,-3.5625998761341623e-09
4.076499999999999,-3.5202203291330375e-09
4.08225,-3.4786948960164893e-09
4.088,-3.438000229512862e-09
4.09375,-3.398113630092315e-09
4.0995,-3.35901303167451e-09
4.10525,-3.3206769874131376e-09
4.111,-3.283084655574623e-09
4.11675,-3.2462157855237333e-09
4.1225000000000005,-3.210050703834125e-09
4.1282499999999995,-3.1745703005314216e-09
4.134,-3.1397560154845207e-09
4.139749999999999,-3.1055898249522628e-09
4.1455,-3.072054228298176e-09
4.15125,-3.039132234878342e-09
4.157,-3.006807351112455e-09
4.16275,-2.975063567744383e-09
4.1685,-2.943885347296699e-09
4.17425,-2.913257611725944e-09
4.18,-2.8831657302846613e-09
4.1857500000000005,-2.8535955075882203e-09
4.1915,-2.8245331718983983e-09
4.19725,-2.795965363617554e-09
4.202999999999999,-2.7678791240028738e-09
4.20875,-2.740261884097058e-09
4.2145,-2.713101453880584e-09
4.22025,-2.686386011643203e-09
4.226,-2.660104093577171e-09
4.23175,-2.6342445835916822e-09
4.2375,-2.6087967033471e-09
4.24325,-2.5837500025103553e-09
4.2490000000000006,-2.5590943492281067e-09
4.25475,-2.534819920818857e-09
4.2605,-2.510917194681049e-09
4.266249999999999,-2.4873769394151446e-09
4.272,-2.464190206158971e-09
4.277749999999999,-2.441348320134327e-09
4.2835,-2.418842872399678e-09
4.28925,-2.396665711811449e-09
4.295,-2.3748089371857304e-09
4.30075,-2.353264889662803e-09
4.3065,-2.3320261452682046e-09
4.312250000000001,-2.3110855076674733e-09
4.318,-2.290436001115076e-09
4.32375,-2.2700708635894327e-09
4.3294999999999995,-2.2499835401138463e-09
4.33525,-2.230167676260701e-09
4.340999999999999,-2.2106171118334133e-09
4.34675,-2.19132587472305e-09
4.3525,-2.172288174939197e-09
4.35825,-2.1534983988071344e-09
4.364,-2.1349511033325886e-09
4.36975,-2.1166410107262844e-09
4.3755,-2.0985630030878185e-09
4.38125,-2.0807121172450976e-09
4.3870000000000005,-2.0630835397450385e-09
4.3927499999999995,-2.045672601991422e-09
4.3985,-2.028474775529043e-09
4.404249999999999,-2.0114856674689522e-09
4.41,-1.994701016050732e-09
4.41575,-1.9781166863417906e-09
4.4215,-1.9617286660654886e-09
4.42725,-1.945533061559673e-09
4.433,-1.92952609385978e-09
4.43875,-1.913704094902827e-09
4.4445,-1.8980635038512978e-09
4.4502500000000005,-1.8826008635329333e-09
4.4559999999999995,-1.867312816991537e-09
4.46175,-1.8521961041494482e-09
4.467499999999999,-1.837247558575563e-09
4.47325,-1.8224641043569907e-09
4.479,-1.8078427530728733e-09
4.48475,-1.7933806008643945e-09
4.4905,-1.779074825603003e-09
4.49625,-1.7649226841485261e-09
4.502,-1.7509215096991144e-09
4.50775,-1.7370687092283841e-09
4.5135,-1.7233617610070797e-09
4.5192499999999995,-1.709798212207379e-09
4.525,-1.6963756765880132e-09
4.53075,-1.683091832255984e-09
4.5365,-1.6699444195039075e-09
4.54225,-1.6569312387216973e-09
4.548,-1.6440501483766375e-09
4.55375,-1.6312990630653664e-09
4.5595,-1.6186759516289113e-09
4.56525,-1.6061788353359077e-09
4.571,-1.5938057861252415e-09
4.57675,-1.5815549249110854e-09
4.5825,-1.569424419946567e-09
4.5882499999999995,-1.5574124852427348e-09
4.594,-1.5455173790446126e-09
4.59975,-1.5337374023586595e-09
4.6055,-1.5220708975333317e-09
4.61125,-1.5105162468875267e-09
4.617,-1.4990718713898342e-09
4.62275,-1.487736229381388e-09
4.6285,-1.4765078153466462e-09
4.63425,-1.4653851587261156e-09
4.64,-1.4543668227712876e-09
4.64575,-1.4434514034409668e-09
4.6514999999999995,-1.4326375283363283e-09
4.65725,-1.4219238556747193e-09
4.663,-1.4113090732996185e-09
4.66875,-1.4007918977259038e-09
4.6745,-1.390371073220174e-09
4.68025,-1.3800453709134693e-09
4.686,-1.3698135879462025e-09
4.69175,-1.3596745466440386e-09
4.6975,-1.3496270937232819e-09
4.70325,-1.33967009952495e-09
4.709,-1.3298024572772942e-09
4.7147499999999996,-1.3200230823833671e-09
4.7205,-1.3103309117370372e-09
4.72625,-1.3007249030603498e-09
4.732,-1.2912040342688895e-09
4.73775,-1.281767302856782e-09
4.7435,-1.2724137253054181e-09
4.74925,-1.2631423365149217e-09
4.755,-1.2539521892534718e-09
4.76075,-1.2448423536290082e-09
4.7665,-1.2358119165792287e-09
4.77225,-1.2268599813803202e-09
4.778,-1.217985667173016e-09
4.7837499999999995,-1.2091881085062722e-09
